timestamp,significant_wave_height_spotter,wind_speed_spotter,bottom_temperature_spotter,top_temperature_spotter
2023-01-28T11:28:00.000Z,,,14.740000000000002,14.86
2023-01-28T11:48:00.000Z,,,14.82,14.96
2023-01-28T12:08:00.000Z,,,14.800000000000004,14.939999999999998
2023-01-28T12:28:00.000Z,,,14.840000000000003,15
2023-01-28T12:38:00.000Z,0.25,0,,
2023-01-28T12:48:00.000Z,,,14.920000000000002,15.079999999999998
2023-01-28T13:08:00.000Z,0.24,0,15.020000000000003,15.200000000000003
2023-01-28T13:28:00.000Z,,,15,15.240000000000002
2023-01-28T13:48:00.000Z,,,15.020000000000003,15.240000000000002
2023-01-28T14:08:00.000Z,,,14.980000000000004,15.300000000000004
2023-01-28T14:28:00.000Z,,,15.020000000000003,15.32
2023-01-28T14:38:00.000Z,0.22,0,,
2023-01-28T14:48:00.000Z,,,15.060000000000002,15.340000000000003
2023-01-28T15:08:00.000Z,0.21,0,15.060000000000002,15.399999999999999
2023-01-28T15:28:00.000Z,,,15.119999999999997,15.5
2023-01-28T15:48:00.000Z,,,15.18,15.579999999999998
2023-01-28T16:08:00.000Z,,,15.340000000000003,15.619999999999997
2023-01-28T16:28:00.000Z,,,15.480000000000004,15.619999999999997
2023-01-28T16:38:00.000Z,0.2,0,,
2023-01-28T16:48:00.000Z,,,15.46,15.579999999999998
2023-01-28T17:08:00.000Z,0.18,0.4,15.46,15.600000000000001
2023-01-28T17:28:00.000Z,,,15.439999999999998,15.64
2023-01-28T17:48:00.000Z,,,15.36,15.560000000000002
2023-01-28T18:08:00.000Z,,,15.32,15.5
2023-01-28T18:28:00.000Z,,,15.340000000000003,15.560000000000002
2023-01-28T18:38:00.000Z,0.19,0.4,,
2023-01-28T18:48:00.000Z,,,15.280000000000001,15.54
2023-01-28T19:08:00.000Z,0.17,0,15.300000000000004,15.660000000000004
2023-01-28T19:28:00.000Z,,,15.219999999999999,15.660000000000004
2023-01-28T19:48:00.000Z,,,15.240000000000002,15.660000000000004
2023-01-28T20:08:00.000Z,,,15.200000000000003,15.700000000000003
2023-01-28T20:28:00.000Z,,,15.119999999999997,15.660000000000004
2023-01-28T20:38:00.000Z,0.23,3.6,,
2023-01-28T20:48:00.000Z,,,15.18,15.64
2023-01-28T21:08:00.000Z,0.21,4,15.100000000000001,15.660000000000004
2023-01-28T21:28:00.000Z,,,15,15.619999999999997
2023-01-28T21:48:00.000Z,,,14.880000000000003,15.5
2023-01-29T00:08:00.000Z,,,15.020000000000003,15.18
2023-01-29T00:28:00.000Z,,,15.04,15.32
2023-01-29T00:38:00.000Z,0.22,0.4,,
2023-01-29T00:48:00.000Z,,,15.060000000000002,15.300000000000004
2023-01-29T01:08:00.000Z,0.24,0,15.020000000000003,15.280000000000001
2023-01-29T01:28:00.000Z,,,15.04,15.219999999999999
2023-01-29T01:48:00.000Z,,,15.060000000000002,15.219999999999999
2023-01-29T02:08:00.000Z,,,15.079999999999998,15.280000000000001
2023-01-29T02:28:00.000Z,,,15.119999999999997,15.280000000000001
2023-01-29T02:38:00.000Z,0.22,0,,
2023-01-29T02:48:00.000Z,,,15.14,15.280000000000001
2023-01-29T03:08:00.000Z,0.24,0,15.119999999999997,15.300000000000004
2023-01-29T03:28:00.000Z,,,15.100000000000001,15.280000000000001
2023-01-29T03:48:00.000Z,,,15.060000000000002,15.259999999999998
2023-01-29T04:08:00.000Z,,,15.060000000000002,15.259999999999998
2023-01-29T04:28:00.000Z,,,15.100000000000001,15.259999999999998
2023-01-29T04:38:00.000Z,0.22,0,,
2023-01-29T04:48:00.000Z,,,15.04,15.160000000000004
2023-01-29T05:08:00.000Z,0.17,1.2,14.96,15.100000000000001
2023-01-29T05:28:00.000Z,,,14.939999999999998,15.020000000000003
2023-01-29T05:48:00.000Z,,,14.920000000000002,15
2023-01-29T06:08:00.000Z,,,14.899999999999999,14.980000000000004
2023-01-29T06:28:00.000Z,,,14.899999999999999,14.980000000000004
2023-01-29T06:38:00.000Z,0.17,0.8,,
2023-01-29T06:48:00.000Z,,,14.880000000000003,14.96
2023-01-29T07:08:00.000Z,0.15,0.4,14.880000000000003,14.96
2023-01-29T07:28:00.000Z,,,14.86,14.939999999999998
2023-01-29T07:48:00.000Z,,,14.82,14.899999999999999
2023-01-29T08:08:00.000Z,,,14.82,14.899999999999999
2023-01-29T08:28:00.000Z,,,14.800000000000004,14.899999999999999
2023-01-29T08:38:00.000Z,0.16,0,,
2023-01-29T08:48:00.000Z,,,14.82,14.899999999999999
2023-01-29T09:08:00.000Z,0.18,0,14.780000000000001,14.880000000000003
2023-01-29T09:28:00.000Z,,,14.740000000000002,14.86
2023-01-29T09:48:00.000Z,,,14.68,14.82
2023-01-29T10:08:00.000Z,,,14.579999999999998,14.700000000000003
2023-01-29T10:28:00.000Z,,,14.520000000000003,14.619999999999997
2023-01-29T10:38:00.000Z,0.19,0,,
2023-01-29T10:48:00.000Z,,,14.5,14.619999999999997
2023-01-29T11:08:00.000Z,0.18,0,14.520000000000003,14.64
2023-01-29T11:28:00.000Z,,,14.54,14.64
2023-01-29T11:48:00.000Z,,,14.579999999999998,14.68
2023-01-29T12:08:00.000Z,,,14.64,14.759999999999998
2023-01-29T12:28:00.000Z,,,14.759999999999998,14.840000000000003
2023-01-29T12:38:00.000Z,0.23,0,,
2023-01-29T12:48:00.000Z,,,14.700000000000003,14.840000000000003
2023-01-29T13:08:00.000Z,0.23,0,14.759999999999998,14.899999999999999
